,Neighborhood,Price,sq_mtrs,Bedrooms,Bathrooms
1348,"Riverside Drive, Westlands, Nairobi , Riverside, Westlands",120000.0,186.0,3.0,2.0
1349,"Riverside, Westlands",120000.0,3.0,3.0,4.0
1350,"Kilimani, Dagoretti North",120000.0,1.0,1.0,2.0
1351,"Westlands Area, Westlands",120000.0,4.0,4.0,2.0
1352,"Riverside, Westlands",120000.0,4.0,4.0,4.0
1353,"Rose Avenue, Kilimani, Dagoretti North",120000.0,2.0,2.0,2.0
1354,"Karen, Langata",120000.0,2.0,2.0,2.0
1355,"Westlands Area, Westlands",120000.0,2.0,2.0,2.0
1356,"General Mathenge, Westlands",122000.0,3.0,3.0,4.0
1357,"Rhapta Road, Westlands",123000.0,3.0,3.0,2.0
1358,"General Mathenge, Westlands",125000.0,3.0,3.0,2.0
1359,"Riverside Place Apartment, Riverside, Westlands",125000.0,3.0,3.0,3.0
1360,"Chania Avenue, Kilimani, Dagoretti North",125000.0,168.0,3.0,4.0
1361,"Parklands, Westlands",125000.0,3.0,3.0,4.0
1362,"Kilimani, Dagoretti North",125000.0,2.0,2.0,2.0
1363,"Kileleshwa, Dagoretti North",125000.0,227.0,3.0,4.0
1364,"kilimani, Kilimani, Kilimani, Dagoretti North",125000.0,3.0,3.0,3.0
1365,"riverside, Riverside, Riverside, Westlands",125000.0,3.0,3.0,3.0
1366,"Kilimani, Dagoretti North",125000.0,2.0,2.0,2.0
1367,"Kilimani, Dagoretti North",125000.0,2.0,2.0,2.0
1368,"Chania Avenue, Kilimani, Dagoretti North",125000.0,3.0,3.0,4.0
1369,"Tabere Cresent Road, Kileleshwa, Dagoretti North",125000.0,2.0,2.0,3.0
1370,"Westlands Area, Westlands",125000.0,2.0,2.0,2.0
1371,"Rhapta Road, Westlands",125000.0,4.0,4.0,5.0
1372,"Lavington, Dagoretti North",125000.0,3.0,3.0,4.0
1373,"Lenana Road, Kilimani, Dagoretti North",125000.0,220.0,3.0,4.0
1374,"Rhapta Road, Westlands",125000.0,3.0,3.0,4.0
1375,"Kilimani, Dagoretti North",125000.0,3.0,3.0,4.0
1376,"Westlands Area, Westlands",125000.0,3.0,3.0,2.0
1377,"Lavington, Dagoretti North",125000.0,3.0,3.0,4.0
1378,"Riverside, Westlands",125000.0,3.0,3.0,4.0
1379,"Westlands Area, Westlands",128000.0,3.0,3.0,3.0
1380,"Off Riverside Drive, Riverside, Westlands",130000.0,4.0,4.0,4.0
1381,"Gatundu Close, Kileleshwa, Dagoretti North",130000.0,22.0,3.0,3.0
1382,"Kikambala, Kileleshwa, Dagoretti North",130000.0,23.0,3.0,2.0
1383,"Westlands Area, Westlands",130000.0,2137.0,3.0,3.0
1384,"Westlands Area, Westlands",130000.0,3.0,3.0,3.0
1385,"School Lane, Lower Kabete, Westlands",130000.0,167.0,2.0,2.0
1386,"Oloitoktok Road, Kileleshwa, Dagoretti North",130000.0,2.0,2.0,2.0
1387,"Oloitoktok Road, Kileleshwa, Dagoretti North",130000.0,2.0,2.0,2.0
1388,"Near Banda School, Karen, Langata",130000.0,2.0,2.0,2.0
1389,"Rhapta Road, Westlands Area, Westlands",130000.0,232.0,3.0,2.0
1390,"kilimani, Kilimani, Dagoretti North",130000.0,3.0,3.0,3.0
1391,"KILELESHWA, LAIKIPIA ROAD, Kileleshwa, Dagoretti North",130000.0,3.0,3.0,4.0
1392,"Riverside Place Apartment, Riverside, Westlands",130000.0,3.0,3.0,3.0
1393,"Lavington, Dagoretti North",130000.0,2.0,2.0,2.0
1394,"Brookside, Westlands",130000.0,300.0,3.0,3.0
1395,"Westlands Area, Westlands",130000.0,3.0,3.0,3.0
1396,"General Mathenge, Westlands",130000.0,3.0,3.0,3.0
1397,"Mwanzi Road, Westlands Area, Westlands",130000.0,2.0,2.0,2.0
1398,"Kilimani, Dagoretti North",130000.0,3.0,3.0,4.0
1399,"Denis Pritt, Kilimani, Dagoretti North",130000.0,2.0,2.0,3.0
1400,"Rhapta Road, Westlands Area, Westlands",130000.0,4.0,4.0,3.0
1401,"Westlands Area, Westlands",130000.0,218.0,3.0,4.0
1402,"Laikipia Road, Kileleshwa, Dagoretti North",130000.0,2.0,2.0,2.0
1403,"Rhapta Road, Westlands Area, Westlands",130000.0,4.0,4.0,3.0
1404,"Ngong Road, Ngong Road",130000.0,2.0,2.0,2.0
1405,"Kileleshwa, Dagoretti North",130000.0,4.0,4.0,5.0
1406,"Kilimani, Dagoretti North",130000.0,3.0,3.0,4.0
1407,"Brookside Drive, Brookside Heights, Brookside, Westlands",130000.0,3.0,3.0,3.0
1408,"mvuli road, Westlands Area, Westlands",130000.0,3.0,3.0,2.0
1409,"21 05 03, 05 RA, Kileleshwa, Dagoretti North",130000.0,210.0,4.0,4.0
1410,"Riverside Drive, Riverside, Westlands",130000.0,130.0,2.0,2.0
1411,"Karen, Langata",130000.0,2787.0,2.0,2.0
1412,"Riverside, Westlands",130000.0,230.0,3.0,3.0
1413,"kileleshwa, Kileleshwa, Kileleshwa, Dagoretti North",130000.0,3.0,3.0,3.0
1414,"Rose avenue, Kilimani, Dagoretti North",130000.0,2.0,2.0,2.0
1415,"Valley Arcade, Lavington, Dagoretti North",130000.0,232.0,4.0,5.0
1416,"School Lane, Brookside, Westlands",130000.0,2500.0,3.0,4.0
1417,"Parklands, Westlands",130000.0,1.0,1.0,1.0
1418,"Riverside, Westlands",130000.0,3.0,3.0,4.0
1419,"Kilimani, Dagoretti North",130000.0,3.0,3.0,3.0
1420,"84 Riverside Drive, Riverside, Westlands",130000.0,3.0,3.0,2.0
1421,"Riverside, Riverside, Westlands",130000.0,3.0,3.0,3.0
1422,"Kileleshwa, Dagoretti North",130000.0,3.0,3.0,2.0
1423,"Westlands Area, Westlands",130000.0,3.0,3.0,3.0
1424,"Westlands Area, Westlands",130000.0,21000.0,3.0,3.0
1425,"Raphta Road, Westlands Area, Westlands",130000.0,3.0,3.0,3.0
1426,"11, Riverside Drive, Riverside, Westlands",130000.0,180.0,3.0,3.0
1427,"Near Valley Arcade, Lavington, Dagoretti North",130000.0,193.0,3.0,3.0
1428,"Lavington, Dagoretti North",130000.0,3.0,3.0,3.0
1429,"Riverside, Westlands",130000.0,180.0,3.0,4.0
1430,"Kileleshwa, Dagoretti North",130000.0,180.0,3.0,4.0
1431,"Riverside, Westlands",130000.0,2450.0,3.0,4.0
1432,"Westlands Area, Westlands",130000.0,4.0,4.0,2.0
1433,"Mandera Road, Kileleshwa, Dagoretti North",130000.0,120.0,1.0,2.0
1434,"Riverside Drive, Riverside, Westlands",130000.0,230.0,3.0,4.0
1435,"Runda, Westlands",130000.0,2.0,2.0,2.0
1436,"Westlands Area, Westlands",130000.0,4.0,4.0,2.0
1437,"Riverside, Westlands",130000.0,4.0,4.0,2.0
1438,"Riverside, Westlands",130000.0,228.0,3.0,3.0
1439,"Lavington, Dagoretti North",130000.0,2.0,2.0,2.0
1440,"Riverside, Westlands",130000.0,2.0,2.0,2.0
1441,"Othaya Road, Lavington, Dagoretti North",130000.0,23.0,3.0,4.0
1442,"Rhapta Road, Westlands",130000.0,2400.0,3.0,3.0
1443,"Kilimani, Dagoretti North",130000.0,4.0,4.0,4.0
1444,"gatundu, Gatundu, Kileleshwa, Dagoretti North",130000.0,2.0,2.0,2.0
1445,"Kilimani Road , Kilimani, Dagoretti North",130000.0,4.0,4.0,2.0
1446,"Kilimani, Dagoretti North",130000.0,3.0,3.0,4.0
1447,"Riverside Drive, Riverside, Westlands",130000.0,130.0,2.0,2.0
1448,"Riverside Drive, Riverside, Westlands",130000.0,23.0,3.0,4.0
1449,"Riverside Drive, Riverside, Westlands",130000.0,24.0,3.0,4.0
1450,"Riverside Drive, Riverside, Westlands",130000.0,23.0,3.0,3.0
1451,"Sandalwood Lane Off Riverside Drive, Riverside, Westlands",130000.0,242.0,3.0,4.0
1452,"Kileleshwa, Dagoretti North",130000.0,3.0,3.0,2.0
1453,"KILIMANI ROAD, Kilimani, Dagoretti North",130000.0,4.0,4.0,5.0
1454,"Parklands, Westlands",130000.0,4.0,4.0,3.0
1455,"Nyali, Nyali Area, Nyali",130000.0,2840.0,3.0,4.0
1456,"Lavington, Dagoretti North",130000.0,2.0,2.0,2.0
1457,"riverra towers, Nyangumi Road, Kilimani, Dagoretti North",130000.0,23.0,3.0,4.0
1458,"Lantana, Rhapta Road, Westlands",130000.0,1800.0,4.0,4.0
1459,"Rhapta Road, Westlands",130000.0,2800.0,3.0,3.0
1460,"General Mathenge, Westlands",130000.0,3.0,3.0,3.0
1461,"Hurligham, Kindaruma Road, Kilimani, Dagoretti North",130000.0,140.0,2.0,3.0
1462,"Lavington, Dagoretti North",130000.0,213.0,4.0,5.0
1463,"Makueni Rd, Kileleshwa, Nairobi, Kileleshwa, Dagoretti North",130000.0,180.0,3.0,4.0
1464,"Tigoni Road, Kilimani, Dagoretti North",130000.0,3.0,3.0,4.0
1465,"Parklands, Westlands",130000.0,4.0,4.0,4.0
1466,"Riverside Dr, Westlands Area, Westlands",130000.0,3.0,3.0,2.0
1467,"Lavington, Dagoretti North",130000.0,4.0,4.0,3.0
1468,"School Lane, Brookside, Westlands",130000.0,220.0,3.0,4.0
1469,"Lavington, Dagoretti North",130000.0,3.0,3.0,2.0
1470,"Riverside, Westlands",130000.0,170.0,3.0,4.0
1471,"Riverside, Westlands",130000.0,180.0,3.0,4.0
1472,"Raphta Road, Rhapta Road, Westlands",130000.0,3.0,3.0,4.0
1473,"Westlands, Westlands, Westlands Area, Westlands",130000.0,1.0,1.0,2.0
1474,"Kileleshwa, Dagoretti North",130000.0,3.0,3.0,3.0
1475,"21 04 22, 26 RA, Riverside, Westlands",130000.0,186.0,3.0,3.0
1476,"Riverside, Westlands",130000.0,3.0,3.0,4.0
1477,"Raphta Road, Westlands Area, Westlands",132000.0,3.0,3.0,3.0
1478,"Kilimani, Dagoretti North",132000.0,3.0,3.0,4.0
1479,"Keiyo Road, Parklands, Westlands",133000.0,1.0,1.0,2.0
1480,"kilimani, Kilimani, Kilimani, Dagoretti North",135000.0,4.0,4.0,3.0
1481,"Lavington, Dagoretti North",135000.0,279.0,3.0,3.0
1482,"Waiyaki Way, Westlands",135000.0,4.0,4.0,3.0
1483,"General Mathenge, Westlands",135000.0,260.0,3.0,4.0
1484,"Kileleshwa, Dagoretti North",135000.0,258.0,3.0,4.0
1485,"Kilimani, Dagoretti North",135000.0,227.0,3.0,4.0
1486,"Parklands, Parklands, Westlands",135000.0,4.0,4.0,4.0
1487,"Rhapta Road, Westlands Area, Westlands",135000.0,1.0,1.0,1.0
1488,"Laikipia Road, Kileleshwa, Dagoretti North",135000.0,150.0,2.0,2.0
1489,"1st Parklands Avenue, Parklands, Westlands",135000.0,3.0,3.0,4.0
1490,"Pilipili way, Westlands Area, Westlands",135000.0,2.0,2.0,3.0
1491,"Lavington, Dagoretti North",135000.0,3.0,3.0,2.0
1492,"Waiyaki Way, Westlands",135000.0,4.0,4.0,3.0
1493,"Brookside Drive, Brookside, Westlands",135000.0,3.0,3.0,3.0
1494,"Westlands Area, Westlands",135000.0,2.0,2.0,2.0
1495,"Waiyaki Way, Westlands Area, Westlands",135000.0,150.0,2.0,2.0
1496,"Riara Road, Kilimani, Nairobi , Kilimani, Dagoretti North",135000.0,260.0,4.0,2.0
1497,"Rhapta Road, Westlands",136000.0,3.0,3.0,3.0
1498,"Mpaka Rd, Westlands Area, Westlands",140000.0,23.0,3.0,2.0
1499,"Riverside Drive, Riverside, Westlands",140000.0,7.0,1.0,1.0
1500,"General Mathenge, General Mathenge, Westlands",140000.0,24.0,4.0,4.0
1501,"Rhapta Rd, Rhapta Road, Westlands",140000.0,23.0,3.0,3.0
1502,"Riverside close, Riverside, Westlands",140000.0,160.0,2.0,2.0
1503,"Lavington, Dagoretti North",140000.0,279.0,3.0,4.0
1504,"Lavington, Dagoretti North",140000.0,180.0,4.0,5.0
1505,"Mbaazi, Lavington, Dagoretti North",140000.0,2.0,2.0,2.0
1506,"Naivasha Avenue, Old Muthaiga, Muthaiga",140000.0,4047.0,1.0,1.0
1507,"Riverside, Westlands",140000.0,2.0,2.0,2.0
1508,"Lenana rd,kilimani, Kilimani, Dagoretti North",140000.0,120.0,2.0,2.0
1509,"Othaya Road, Kileleshwa, Dagoretti North",140000.0,3.0,3.0,5.0
1510,"Laikipia Road, Kileleshwa, Dagoretti North",140000.0,3.0,3.0,2.0
1511,"Off Riara, Lavington, Dagoretti North",140000.0,3.0,3.0,5.0
1512,"Lavington, Lavington, Lavington, Dagoretti North",140000.0,3.0,3.0,3.0
1513,"Kilimani, Dagoretti North",140000.0,300.0,3.0,4.0
1514,"Kileleshwa, Dagoretti North",140000.0,300.0,4.0,5.0
1515,"Brookside, Brookside, Westlands",140000.0,1.0,1.0,1.0
1516,"Parklands, Westlands",140000.0,3.0,3.0,2.0
1517,"Waiyaki Way, Westlands",140000.0,4.0,4.0,3.0
1518,"Jambo Regency Apartments, Waiyaki Way, Westlands",140000.0,4.0,4.0,3.0
1519,"Lavington, Dagoretti North",140000.0,1.0,1.0,2.0
1520,"Rhapta Road, Westlands",140000.0,4.0,4.0,3.0
1521,"Fahari Palace Apartments, Church Road, Westlands Area, Westlands",140000.0,2.0,2.0,2.0
1522,"Off Dennis Pritt Road, Kileleshwa, Dagoretti North",140000.0,3.0,3.0,2.0
1523,"Westlands Area, Westlands",140000.0,2.0,2.0,2.0
1524,"Parklands, Westlands",140000.0,3.0,3.0,3.0
1525,"Lower Kabete, Westlands",140000.0,3.0,3.0,3.0
1526,"Mpaka Road, Westlands Area, Westlands",140000.0,2.0,2.0,2.0
1527,"Ngong Rd, Kilimani, Dagoretti North",140000.0,13.0,2.0,2.0
1528,"Riverside drive , Riverside, Westlands",140000.0,1.0,1.0,1.0
1529,"kindaruma road, Kilimani, Dagoretti North",140000.0,2.0,2.0,2.0
1530,"riverside, Riverside, Riverside, Westlands",140000.0,3.0,3.0,3.0
1531,"Parklands, Westlands",140000.0,3.0,3.0,4.0
1532,"Brookside, Brookside, Westlands",140000.0,3.0,3.0,3.0
1533,"Brookside, Westlands Area, Westlands",140000.0,3.0,3.0,3.0
1534,"Westlands Area, Westlands",140000.0,2023.0,3.0,3.0
1535,"Kileleshwa, Dagoretti North",140000.0,3.0,3.0,2.0
1536,"Brookside, Brookside, Westlands",140000.0,3.0,3.0,3.0
1537,"Brookside, Westlands Area, Westlands",140000.0,3.0,3.0,3.0
1538,"Riverside, Westlands",140000.0,3.0,3.0,3.0
1539,"Lavington, Dagoretti North",140000.0,3.0,3.0,3.0
1540,"Othaya Road, Kileleshwa, Dagoretti North",140000.0,3.0,3.0,5.0
1541,"Kileleshwa, Dagoretti North",140000.0,1500.0,2.0,2.0
1542,"Lavington, Dagoretti North",140000.0,3.0,3.0,4.0
1543,"Kilimani, Dagoretti North",140000.0,2.0,2.0,2.0
1544,"Waiyaki Way, Westlands",140000.0,2.0,2.0,2.0
1545,"Riverside, Westlands",140000.0,186.0,2.0,2.0
1546,"Kilimani, Dagoretti North",140000.0,3.0,3.0,2.0
1547,"Kilimani, Dagoretti North",140000.0,111.0,2.0,2.0
1548,"General Mathenge, Westlands",140000.0,3.0,3.0,2.0
1549,"suguta road, Kileleshwa, Dagoretti North",140000.0,2.0,2.0,2.0
1550,"General Mathenge, Westlands",140000.0,2.0,2.0,3.0
1551,"Brookside, Westlands Area, Westlands",140000.0,262.0,3.0,3.0
1552,"Westlands, Brookside, Westlands",140000.0,3.0,3.0,3.0
1553,"near Valley arcade shopping, Valley Arcade, Dagoretti North",140000.0,3.0,3.0,4.0
1554,"Riverside, Westlands",140000.0,4.0,4.0,3.0
1555,"Westlands Area, Westlands",140000.0,20000.0,2.0,2.0
1556,"Kilimani, Dagoretti North",140000.0,2.0,2.0,2.0
1557,"5Th Avenue, Parklands, Westlands",140000.0,4.0,4.0,4.0
1558,"Riverside, Westlands",140000.0,3.0,3.0,4.0
1559,"Githuri Road, Parklands, Westlands",145000.0,4.0,4.0,5.0
1560,"Kilimani, Dagoretti North",145000.0,3.0,3.0,4.0
1561,"Thika Road, Thika Road",145000.0,3.0,3.0,3.0
1562,"Gatundu Road, Kileleshwa, Nairobi, Kileleshwa, Dagoretti North",145000.0,2400.0,3.0,3.0
1563,"Riverside Drive, Riverside, Westlands",145000.0,3.0,3.0,5.0
1564,"Parklands, Westlands",145000.0,4.0,4.0,4.0
1565,"kileleshwa, Kileleshwa, Kileleshwa, Dagoretti North",145000.0,3.0,3.0,3.0
1566,"Westlands Area, Westlands",145000.0,2.0,2.0,2.0
1567,"Kilimani, Dagoretti North",145000.0,3.0,3.0,3.0
1568,"kileleshwa, Kileleshwa, Kileleshwa, Dagoretti North",145000.0,3.0,3.0,3.0
1569,"Argwings Kodhek Rd, Kilimani, Dagoretti North",150000.0,2.0,2.0,2.0
1570,"Kilimani, Dagoretti North",150000.0,279.0,4.0,5.0
1571,"Othaya Rd, Lavington, Dagoretti North",150000.0,24.0,4.0,4.0
1572,"Laikipia Rd, Riverside, Westlands",150000.0,13.0,2.0,2.0
1573,"Laikipia , Kileleshwa, Dagoretti North",150000.0,2.0,2.0,2.0
1574,"Riverside, Westlands",150000.0,3.0,3.0,3.0
1575,"General Mathenge, Westlands",150000.0,3.0,3.0,2.0
1576,"Othaya Road, Lavington, Dagoretti North",150000.0,4.0,4.0,4.0
1577,"Siaya Road, Kileleshwa, Dagoretti North",150000.0,4.0,4.0,5.0
1578,"Parklands Road, Westlands, Nairobi, Parklands, Westlands",150000.0,260.0,4.0,2.0
1579,"Westlands Area, Westlands",150000.0,21000.0,4.0,4.0
1580,"Siaya Road, Kileleshwa, Dagoretti North",150000.0,4.0,4.0,5.0
1581,"Kileleshwa, Dagoretti North",150000.0,4.0,4.0,5.0
1582,"Lavington, Dagoretti North",150000.0,200.0,2.0,2.0
1583,"Kilimani, Dagoretti North",150000.0,2.0,2.0,2.0
1584,"Othaya Road, Lavington, Dagoretti North",150000.0,4.0,4.0,4.0
1585,"Parklands Road, Westlands, Nairobi, Parklands, Westlands",150000.0,260.0,4.0,2.0
1586,"Westlands Area, Westlands",150000.0,4.0,4.0,3.0
1587,"Mandera Road, Kileleshwa, Dagoretti North",150000.0,220.0,3.0,4.0
1588,"Lantana Road, Rhapta Road, Westlands",150000.0,2500.0,4.0,5.0
1589,"1, Redhill drive, Nyari, Westlands",150000.0,270.0,3.0,4.0
1590,"Waiyaki Way, Westlands",150000.0,2.0,2.0,2.0
1591,"Kileleshwa, Dagoretti North",150000.0,4.0,4.0,2.0
1592,"Riverside, Westlands",150000.0,3.0,3.0,4.0
1593,"Kindaruma Road, Kilimani, Dagoretti North",150000.0,2.0,2.0,2.0
1594,"Rhapta Road, Westlands",150000.0,3.0,3.0,3.0
1595,"Rose Avenue, Kilimani, Dagoretti North",150000.0,3.0,3.0,2.0
1596,"Kilimani, Dagoretti North",150000.0,3.0,3.0,3.0
1597,"Westlands Area, Westlands",150000.0,2.0,2.0,2.0
1598,"Kindaruma Road, Kilimani, Dagoretti North",150000.0,2.0,2.0,2.0
1599,"parklands, Parklands, Parklands, Westlands",150000.0,4.0,4.0,4.0
1600,"Kilimani, Dagoretti North",150000.0,120.0,2.0,2.0
1601,"21 03 25, 32 FA, Waiyaki Way, Westlands",150000.0,111.0,1.0,1.0
1602,"Le'mac, Slip Road, Waiyaki Way, Westlands",150000.0,46.0,2.0,2.0
1603,"Gatundu Rd, Kileleshwa, Dagoretti North",150000.0,23.0,3.0,4.0
1604,"Rhapta Rd, Rhapta Road, Westlands",150000.0,25.0,4.0,3.0
1605,"Karen, Langata",150000.0,2.0,2.0,3.0
1606,"Kilimani, Dagoretti North",150000.0,4.0,4.0,5.0
1607,"Thika Road, Thika Road",150000.0,2.0,2.0,1.0
1608,"Othaya road, Kileleshwa, Dagoretti North",150000.0,3.0,3.0,4.0
1609,"12, lower kabete, Brookside, Westlands",150000.0,3.0,3.0,4.0
1610,"Lavington, Dagoretti North",150000.0,3.0,3.0,2.0
1611,"Lavington, Dagoretti North",150000.0,3.0,3.0,2.0
1612,"Rhapta Road, Westlands",150000.0,4.0,4.0,2.0
1613,"Kileleshwa, Dagoretti North",150000.0,3.0,3.0,3.0
1614,"Nyari, Westlands",150000.0,4.0,4.0,2.0
1615,"Riara road, Kilimani, Dagoretti North",150000.0,2025.0,3.0,2.0
1616,"Yaya Centre, Kilimani, Dagoretti North",150000.0,290.0,4.0,5.0
1617,"walk to valley arcade, Lavington, Dagoretti North",150000.0,4.0,4.0,5.0
1618,"near Kasusku, Kileleshwa, Dagoretti North",150000.0,3.0,3.0,4.0
1619,"Rhapta Road, Rhapta Road, Westlands",150000.0,3.0,3.0,4.0
1620,"Brookside, Westlands",150000.0,3.0,3.0,4.0
1621,"Brookside Drive, Westlands Area, Westlands",150000.0,3.0,3.0,3.0
1622,"Kilimani, Dagoretti North",150000.0,3.0,3.0,3.0
1623,"General Mathenge, Westlands",150000.0,2.0,2.0,3.0
1624,"Shanzu road, Spring Valley, Westlands",150000.0,4.0,4.0,5.0
1625,"Kileleshwa, Dagoretti North",150000.0,325.0,4.0,4.0
1626,"Kiambu Road, Kiambu Road",150000.0,3.0,3.0,2.0
1627,"Westlands Area, Westlands",150000.0,4.0,4.0,3.0
1628,"Westlands Area, Westlands",150000.0,4.0,4.0,4.0
1629,"Westlands Area, Westlands",150000.0,1.0,1.0,1.0
1630,"Lone Tree, Rosslyn, Westlands",150000.0,80.0,2.0,2.0
1631,"1, Rosslyn Lone Tree Estate Road, Rosslyn, Westlands",150000.0,90.0,2.0,2.0
1632,"Brookside Drive, Brookside, Westlands",150000.0,150.0,2.0,2.0
1633,"Peponi Road, Westlands Area, Westlands",150000.0,150.0,2.0,2.0
1634,"Westlands Area, Westlands",150000.0,2.0,2.0,2.0
1635,"Brookside, Westlands",150000.0,3.0,3.0,2.0
1636,"Hurlingham, Dagoretti North",150000.0,3.0,3.0,2.0
1637,"Kileleshwa, Dagoretti North",150000.0,2.0,2.0,2.0
1638,"Westlands Area, Westlands",150000.0,2.0,2.0,2.0
1639,"Kilimani, Dagoretti North",150000.0,3.0,3.0,3.0
1640,"Westlands Area, Westlands",150000.0,2.0,2.0,3.0
1641,"Brookside, Brookside, Brookside, Westlands",150000.0,4.0,4.0,4.0
1642,"Rhapta Road, Westlands",150000.0,3.0,3.0,4.0
1643,"Westlands Area, Westlands",150000.0,4.0,4.0,4.0
1644,"Mbaazi Avenue, Lavington, Dagoretti North",150000.0,3.0,3.0,3.0
1645,"Parklands, Westlands",150000.0,4.0,4.0,2.0
1646,"Westlands Area, Westlands",150000.0,3.0,3.0,2.0
1647,"Gatundu Rd, Kileleshwa, Dagoretti North",150000.0,23.0,3.0,3.0
1648,"Kitale Lane, Kilimani, Dagoretti North",150000.0,14.0,2.0,2.0
1649,"Dennis Pritt, Dagoretti North",150000.0,3.0,3.0,2.0
1650,"6Th Parklands , Parklands, Westlands",150000.0,158.0,3.0,2.0
1651,"Kyuna, Westlands",150000.0,3.0,3.0,3.0
1652,"Argwings Kodhek, Kilimani, Dagoretti North",150000.0,160.0,3.0,4.0
1653,"School lane, Westlands Area, Westlands",150000.0,2.0,2.0,2.0
1654,"School lane, Westlands Area, Westlands",150000.0,2.0,2.0,2.0
1655,"Dennis Pritt, Dagoretti North",150000.0,3.0,3.0,2.0
1656,"Argwings Kodhek Rd, Kilimani, Dagoretti North",150000.0,3.0,3.0,4.0
1657,"Gigiri, Westlands",150000.0,3.0,3.0,2.0
1658,"Kiambere Road, Upper Hill, Langata",150000.0,133.0,2.0,2.0
1659,"Mbaazi, Lavington, Dagoretti North",150000.0,4.0,4.0,3.0
1660,"Near Yaya Center, Kilimani, Dagoretti North",150000.0,1.0,1.0,1.0
1661,"behind Junction Mall, Kilimani, Dagoretti North",150000.0,3.0,3.0,3.0
1662,"Kileleshwa, Dagoretti North",150000.0,4.0,4.0,4.0
1663,"Westlands Area, Westlands",150000.0,4.0,4.0,4.0
1664,"Westlands Area, Westlands",150000.0,2601.0,3.0,4.0
1665,"Riverside, Westlands",150000.0,2.0,2.0,2.0
1666,"General Mathenge Drive, General Mathenge, Westlands",150000.0,3000.0,4.0,4.0
1667,"Brookside Drive, Brookside, Westlands",150000.0,3.0,3.0,2.0
1668,"Kileleshwa, Dagoretti North",150000.0,3.0,3.0,4.0
1669,"Lavington, Dagoretti North",150000.0,4.0,4.0,4.0
1670,"Rhapta Road, Westlands",150000.0,3.0,3.0,3.0
1671,"School Lane, Parklands, Westlands",150000.0,2.0,2.0,2.0
1672,"Kilimani, Dagoretti North",150000.0,2.0,2.0,3.0
1673,"Brookside, Westlands",150000.0,3.0,3.0,2.0
1674,"Lavington, Dagoretti North",150000.0,4.0,4.0,4.0
1675,"Raphta Road, Westlands, Nairobi, Rhapta Road, Westlands",150000.0,325.0,3.0,2.0
1676,"Mbaazi, Mbaazi, Lavington, Dagoretti North",150000.0,3.0,3.0,2.0
1677,"Lavington, Dagoretti North",150000.0,3.0,3.0,3.0
1678,"Kilimani, Dagoretti North",150000.0,2.0,2.0,2.0
1679,"Kileleshwa, Dagoretti North",150000.0,3.0,3.0,3.0
1680,"Westlands Area, Westlands",150000.0,2.0,2.0,2.0
1681,"General Mathenge, Westlands",155000.0,4.0,4.0,4.0
1682,"Parklands, Westlands",155000.0,2.0,2.0,2.0
1683,"Brookside, Westlands",155000.0,3.0,3.0,5.0
1684,"General Mathenge, Spring Valley, Westlands",155000.0,4.0,4.0,4.0
1685,"Brookside, Westlands",155000.0,3.0,3.0,5.0
1686,"Riverside Drive, Riverside, Westlands",155000.0,2950.0,3.0,5.0
1687,"Westlands Area, Westlands",158000.0,4.0,4.0,3.0
1688,"Mpaka Rd, Westlands Area, Westlands",160000.0,24.0,4.0,3.0
1689,"General Mathenge, General Mathenge, Westlands",160000.0,16.0,2.0,2.0
1690,"Gigiri, Westlands",160000.0,1.0,1.0,1.0
1691,"Lavington, Dagoretti North",160000.0,4.0,4.0,2.0
1692,"kilimani, Kilimani, Kilimani, Dagoretti North",160000.0,4.0,4.0,4.0
1693,"Lavington, Dagoretti North",160000.0,4.0,4.0,4.0
1694,"Ole-ndume road, Kilimani, Kilimani, Dagoretti North",160000.0,4.0,4.0,3.0
1695,"Riara Rd, Lavington, Dagoretti North",160000.0,3.0,3.0,3.0
1696,"General Mathenge, Westlands",160000.0,280.0,3.0,3.0
1697,"Westlands Area, Westlands",160000.0,3.0,3.0,2.0
1698,"Westlands Area, Westlands",160000.0,2.0,2.0,2.0
1699,"General Mathenge, Westlands",160000.0,280.0,3.0,3.0
1700,"Westlands Area, Westlands",160000.0,3.0,3.0,2.0
1701,"Westlands Area, Westlands",160000.0,2.0,2.0,2.0
1702,"Gigiri, Westlands",160000.0,3.0,3.0,2.0
1703,"Oldonyo Sabuk, Westlands Area, Westlands",160000.0,2.0,2.0,2.0
1704,"Brookside, Brookside, Westlands",160000.0,3.0,3.0,3.0
1705,"Westlands Area, Westlands",160000.0,3.0,3.0,2.0
1706,"General Mathenge, Westlands",160000.0,3.0,3.0,4.0
1707,"Rhapta Road, Westlands",160000.0,1.0,1.0,2.0
1708,"Gitanga Road, Kileleshwa, Dagoretti North",160000.0,220.0,3.0,3.0
1709,"Opposite Parklands Baptist Church, Westlands Area, Westlands",160000.0,3.0,3.0,3.0
1710,"Spring Valley, Westlands",160000.0,4.0,4.0,4.0
1711,"Valley Arcade, Mbaazi Avenue, Lavington, Dagoretti North",160000.0,3.0,3.0,3.0
1712,"Valley Arcade, Dagoretti North",160000.0,3.0,3.0,3.0
1713,"Spring Valley, Westlands",160000.0,130.0,2.0,1.0
1714,"Riverside, Westlands",160000.0,3.0,3.0,3.0
1715,"Kileleshwa, Dagoretti North",160000.0,2.0,2.0,2.0
